HLCL-0|keep going if you are scared keep going
HLCL-49|I want to thank everyone who welcomed me into their homes businesses schools and churches over those two long crazy years
HLCL-50|every little girl and boy who ran into my arms at full speed or high five me with all their might and a long chain of Brave adventurous people stretching back Generations who's love and strength made it possible for me to lead such a rewarding life in the country I love
HLCL-51|thanks to them despite everything else my heart is full
HLCL-52|I started this book with some words attributed to one of those Pat's Breakers Harriet Tubman
HLCL-53|20 years ago I watched a group of children perform a play about her life that her former Homestead in Auburn New York
HLCL-54|they were so excited about this courageous determined woman who led slaves to
HLCL-55|despite everything she faced she never lost her faith in a simple but powerful motto keep going
HLCL-56|that's what we have to do now to
HLCL-57|in 2016 the US government announced that Harriet Tubman will become the face of the $20 bill
HLCL-58|if you need proof that America can still get it right there it is
HLCL-59|it's supposed to be hard if it wasn't hard everyone would do it
HLCL-60|the heart is what makes it great A League of Their Own
HLCL-61|perseverance that which does not kill us makes us stronger
HLCL-62|Friedrich Nietzsche and Kelly Clarkson
HLCL-63|showing up deep breath feel the air fill my lungs
HLCL-64|this is the right thing to do the country needs to see that our democracy still works no matter how painful this is
HLCL-65|breathe out scream later
HLCL-66|I'm standing just inside the door at the top of the steps leading down to the inaugural platform waiting for the announcer to call Bill and me to our seats
HLCL-67|I'm imagining that I'm Anywhere But Here
HLCL-68|Maybe
HLCL-69|it's a tradition for Bill and me as a former president and first lady to attend the swearing-in of the new president
HLCL-70|I had struggled for weeks with whether or not to go
HLCL-71|John Lewis wasn't going the Civil Rights hero and Congressman said that the president-elect was not legitimate because of amount
HLCL-72|evidence of Russian interference in the election
HLCL-73|other members of Congress were joining him and boycotting a president-elect they saw as divisive
HLCL-74|a lot of my supporters and close friends urged me to stay home too
HLCL-75|my friends understood how painful it would be to sit on the platform and watch Donald Trump sworn in as our next commander and chief
HLCL-76|I had campaigned relentlessly to make sure that never happened
HLCL-77|I was convinced he represented a clear and present danger to the country and the world
HLCL-78|now the worst had happened and he was going to take the oath of office
HLCL-79|plus after the mean-spirited campaign Trump ran there was a decent chance I'd get booed or be met with lockherup chance if I went
HLCL-80|still I saw the responsibility to be there
HLCL-81|the peaceful transfer of power is one of our country's most important Traditions I had touted it around the world as Secretary of State hoping that more countries would follow our example
HLCL-82|if I really believed in it I had to put my feelings aside and go
HLCL-83|checked with the bushes Carter's to see what they were thinking
HLCL-84|George W and Jimmy had been among the first to call me after the election which meant a lot to me
HLCL-85|George actually called just minutes after I finished my concession speech and graciously waited on the line while I hugged my team and supporters one last time
HLCL-86|when we talked he suggested we find time to get burgers together
HLCL-87|I think that's taxon for I feel your pain
HLCL-88|both he and Jimmy knew what it felt like to put yourself on the line in front of the whole country and Jimmy knew the sting of rejection
HLCL-89|and I commiserated over that a bit Jimmy this is the worst
HLCL-90|yes Hillary it is it was no secret that these former presidents weren't fans of Donald Trump
HLCL-91|absolutely vicious to George's brother Jeb in particular
HLCL-92|but were they going to the inauguration yes
HLCL-93|that gave me the push I needed bill and I would go
HLCL-94|that's how I ended up right inside the door of the Capitol on January 20th waiting to be announced
HLCL-95|it had been such a long journey to get here
HLCL-96|now I just had to take a few more steps
HLCL-97|I took bills arm and squeezed it grateful to have him by my side
HLCL-98|I took a deep breath and walked out the door with as big a smile as I could muster
HLCL-99|on the platform we sat next to the bushes
HLCL-100|the four of us had caught up inside a few minutes earlier trading updates about our daughters and gray
HLCL-101|children we chatted like it was any other day
HLCL-102|George and Laura gave us the latest news about the health of George's parents former President George HW and Barbara
HLCL-103|both of whom had been in the hospital recently but happily we're now on the mend
HLCL-104|as we sat waiting for the president-elect to arrive my mind wander back to that incredible day 24 years earlier when Bill took the oath of office for the first time
HLCL-105|it could not have been easy for George h.w. and Barbara to watch
HLCL-106|but they had been extraordinarily gracious to us
HLCL-107|going president left a letter for Bill in the Oval Office that is one of the most decent and patriotic things I've ever read
HLCL-108|your success now is our country's success
HLCL-109|I am rooting hard for you he wrote we did our best to show the same graciousness to George W and Laura 8 years later
HLCL-110|at this moment I was trying to summon a similar attitude about the incoming president
HLCL-111|as I had said in my concession speech he deserves an open mind and the chance to lead
HLCL-112|I also thought about Al Gore who in 2001 despite having one more
HLCL-113|members of the Supreme Court decided that election
HLCL-114|that must have been awful to bear I realized I was inventing a new Pastime Imagining the pain of past electoral losses
HLCL-115|John Adams our second commander-in-chief suffered the indignity of being the first president ever voted out of office losing to Thomas Jefferson and 18
HLCL-116|but he got a measure of Revenge 25 years later when his son John Quincy was elected
HLCL-117|1972 George McGovern lost 49 out of 50
HLCL-118|gates to Richard Nixon bill and I worked hard on McGovern's campaign and have indelible memories defeat
HLCL-119|and let's not forget William Howard Taft from Teddy Roosevelt had grown to succeed
HLCL-120|4 years later in 1912 Teddy decided Taft wasn't doing a good enough job as president so he ran as a third-party candidate split the electorate and Woodrow Wilson one that had to hurt
HLCL-121|then Bill touch my elbow and I snapped back to the present
HLCL-122|the Obamas
HLCL-123|I imagined President Obama riding over in the presidential limo with a man who has risen to prominence partly by lying about barack's birthplace and accusing him of not being an American
HLCL-124|at some point to the day's proceedings Michelle and I shared a rueful look it said
HLCL-125|can you believe this
HLCL-126|eight years before on the bitterly cold in our heads were full of plans and possibilities
HLCL-127|today was just about putting on a game face and getting through it
HLCL-128|the president-elect finally arrived years but never imagined he'd be standing on the steps of the Capitol taking the oath of office as president of the United States
HLCL-129|he was a fixture of the New York scene when I was a Senator like a lot of big-shot real estate guys in the city only more flamboyant and self-promoting
HLCL-130|in 2005 he invited us to his wedding to Melania in Palm Beach Florida
HLCL-131|we weren't friends so I assumed you wanted as much Starpower is he could get
HLCL-132|Bill happened to be speaking in the area that weekend so we decided to go why not I thought it would be a fun Gotti over-the-top spectacle and I was right
HLCL-133|I attended the ceremony then met bill for the reception at Trump's Mar-A-Lago estate we had our photo taken with the bride and groom and left
HLCL-134|the next year Trump joined prominent New Yorkers in a video spoof prepared for the legislative correspondents association dinner in Albany which is the state version of the more famous
HLCL-135|the idea was that the wax figure of me at the Madame Tussauds Museum in Times Square had been stolen so I had to stand in and pretend to be a statue while various famous people walked by and said things to me
HLCL-136|said I was doing a great job as Senator running for president in 2008 as a self under
HLCL-137|when Trump appear he said you look really great unbelievable I've never seen anything like it the hair is Magnificent the face is beautiful you know I really think you'd make a
HLCL-138|president nobody could come close
HLCL-139|the camera pulled back to reveal he wasn't talking to me after all but to his own wax statue
HLCL-140|it was funny at the time when Trump declared his candidacy for real in 2015 I thought it was another joke like a lot of people did
HLCL-141|by then he made himself from tabloid scoundrel into right-wing crank with his defensive quixotic obsession with President Obama's birth certificate
HLCL-142|he flirted with politics for decades but it was hard to take him seriously
HLCL-143|he reminded me of one of those old man ranting on about how the country was going to hell in a handbasket unless people started listening to him
HLCL-144|it was impossible to ignore Trump the media gave him free wall-to-wall coverage
HLCL-145|I thought it was important to call him out for his bigotry which I did early and often starting when
HLCL-146|call Mexican immigrants rapists and drug dealers
HLCL-147|but it wasn't until I saw him dominated debate with a crowded field of talented Republican candidates powerful arguments but with ugly attacks that Drew gasps
HLCL-148|the I realized he might be for real now carry was with his hand on the Bible promising to preserve protect and defend the Constitution of the United States
HLCL-149|the joke it turned out was on us
HLCL-150|it started to rain and people around us fumbled with the thin plastic ponchos we've been given
HLCL-151|backstage I had urge Bill to wear his trench coat the day was unusual a small
HLCL-152|as awkward as the ponchos looked they could have looked worse
HLCL-153|I had heard that the first batch of ponchos that arrived could have looked something like from a certain angle and a sharp-eyed and organizer quickly replace them
HLCL-154|the new president's speech was dark and dystopian I heard it as a howl straight from the white nationalist gut
HLCL-155|it's most memorable quotes about American Carnage a startling phrase more suited to a slasher film that an inaugural address
HLCL-156|Trump painted a picture of a bitter broken country I didn't recognize
HLCL-157|I knew we still had real challenges ones I had talked about endlessly on the campaign Trail income inequality and the increasing concentration of corporate power continuing threats from terrorism and climate change the rising cost of healthcare the need to create more in bed
HLCL-158|jobs in the face of accelerating automation
HLCL-159|the American middle class
HLCL-160|the financial crash of 2008 2009 cost them their jobs and ripped away their security
HLCL-161|it seems like no one was ever held accountable
HLCL-162|Americans across a broad spectrum felt alienated from culturally traditional white voters unsettled by the pace of social change to black men value their lives to dreamers and patriotic Muslim citizens who are made to feel like Intruders in their own land
HLCL-163|Trump was great at rubbing salt and their wounds
HLCL-164|but he was wrong about so much there has been 75 straight months of job growth under President Obama and incomes for the bottom 80% were finally starting to go up
HLCL-165|20 million more people had health insurance thanks the affordable
HLCL-166|the greatest legislative achievement of the outgoing Administration
HLCL-167|crime was still at historic lows our military remain by far the most powerful in the world
HLCL-168|these are knowable verifiable facts
HLCL-169|Trump's world and said the exact opposite
HLCL-170|just as he had throughout the campaign he didn't seem to see or value any of the energy and optimism I saw when I traveled around the country
HLCL-171|listening to trump it almost felt like there was no such thing as truth anymore
HLCL-172|it still feels that way my predecessor in the Senate Daniel Patrick Moynihan entitled to his own opinion but not his own facts
HLCL-173|we can disagree about policies and values but claiming the two plus two equals five and having millions of Americans swallow it
HLCL-174|is very different when the most powerful person in our country says don't believe your eyes don't believe the experts don't believe the numbers just believe me that rips a big hole in a free Democratic Society
HLCL-175|as history Professor Timothy Snyder writes in his book on tyranny 20 lessons from the 20th century
HLCL-176|to abandon facts is to abandon freedom
HLCL-177|if nothing is true then no one can criticize power because there is no basis upon which to do so
HLCL-178|if nothing is true that all is spectacle
HLCL-179|attempting to Define reality is a core feature of authoritarianism
HLCL-180|this is what the Soviets did when they erased political dissidents from historical photos
HLCL-181|this is what happens in George Orwell's classic novel 1984 when a torturer holds up
HLCL-182|four fingers and delivers electric shocks until his prisoner sees five fingers as ordered
HLCL-183|the goal is to make you question logic and reason and too so mistrust toward exactly the people we need to rely on our leaders the Press experts who seek to guide public policy based on evidence and ourselves
HLCL-184|for Trump as with so much he does it's about simple dominance
HLCL-185|the trend didn't start with Trump Al Gore wrote a book called The Assault on reason 2007
HLCL-186|in 2005 Stephen Colbert coin the word truthiness inspired by house Fox News was turning politics into an Evidence fries of seething resentment
HLCL-187|and the Republican politicians whom Fox propelled the power had done their part 2
HLCL-188|Republican strategist Karl Rove famously Justin
HLCL-189|critics who lived in quote the reality-based community unquote
HLCL-190|intended as a slight saying they fail to grasp that quote wear an Empire and when we act we create our own reality and quote
HLCL-191|but Trump has taken the war on truth to a whole new level
HLCL-192|if he stood up tomorrow and declare that the Earth is flat
HLCL-193|his counselor kellyanne Conway just might go on Fox News and defend it as an alternative fact
HLCL-194|and too many people would believe it just look at what happened several weeks into his presidency when Trump falsely accused President Obama of having wiretapped him a claim that was widely and quickly debunked
HLCL-195|a subsequent poll found that 74% of Republicans nevertheless thought it was at least somewhat likely to be true
HLCL-196|Trump's inaugural address was aimed squarely at millions of Americans who felt insecure and frustrated even hopeless in a changing economy and Society
HLCL-197|a lot of people were looking for someone to blame
HLCL-198|too many saw the world and zero some terms believing that gains made by fellow Americans they viewed as other people of color immigrants women lgbtq people Muslims were not learned and must be coming at someone's expense
HLCL-199|economic pain and dislocation were real and so was the psychic pain it made for a toxic combustible mix
HLCL-200|I hadn't been blind to the power of this anger
HLCL-201|during the campaign both went back and reread the True Believer Eric offers 1951 exploration of the psychology behind fanaticism and mass movements and I shared it with my senior
HLCL-202|on the campaign Trail for the ideas that I believe would address many of the underlying causes of discontent and help make life better for all Americans
HLCL-203|but I couldn't and wouldn't
HLCL-204|compete distilled people's rage and resentment I think that's dangerous it helps leaders who want to take advantage of that rage to hurt people rather than help them
HLCL-205|besides it's just not how I'm wired
HLCL-206|maybe that's why Trump was now delivering the inaugural address and I was sitting in the crowd
HLCL-207|what would I have said if it were me up there it would have been daunting Define the words to match the moment
HLCL-208|I probably would have gone through a million drafts my poor speechwriters would have been sprinting only steps ahead of me carrying the thumb drive with the final draft to the teleprompter operator
HLCL-209|but I would have relished the chance to
HLCL-210|beyond the rancor of the campaign reach out to all Americans regardless of who they voted for National reconciliation opportunity and inclusive prosperity
HLCL-211|it would have been an extraordinary honor to be the first woman to take the oath
HLCL-212|I won't pretend I hadn't dreamt of that moment for me for my mother for my daughter her daughter everyone's daughters and for our sons
HLCL-213|instead the world was listening to the new president's undimmed Fury
HLCL-214|I remembered the late Maya Angelou reading one of her poems at Bills first inauguration
HLCL-215|do not be wedded forever to fear yoked eternally to brutishness she urged us
HLCL-216|what would she say if she could hear this speech
HLCL-217|then it was done and he was our president
HLCL-218|that was some weird s*** George W reportedly said with characteristic Texas bluntness
HLCL-219|I couldn't have agreed more headed up the stairs to leave the platform and go back inside the capitol shaking hands along the way
HLCL-220|I saw a man off to decide who I thought was reince priebus head of the Republican National Committee and incoming white house chief of staff
HLCL-221|as I passed by we shook hands and exchanged small talk
HLCL-222|later I realized it hadn't been priebus at all
HLCL-223|it was Jason Chaffetz then Utah congressman and wannabe Javert who made endless political hay out of my emails and the 2012 tragedy in Benghazi Libya
HLCL-224|later Jason's posted a picture of our handshake with the caption
HLCL-225|quote so pleased she is not the president I thanked her for her service and wish her luck the investigation
HLCL-226|continues on quote what a Class Act
HLCL-227|I came this close to tweeting back to be honest thought you were Ryan's
HLCL-228|the rest of the day was a blur of greeting old friends and trying to avoid eye contact with those people who said terrible things about me during the campaign
HLCL-229|I ran into Supreme Court Justice Ruth Bader Ginsburg walking slowly but with Steely determination
HLCL-230|if I had one she might have enjoyed a nice retirement now I hoped she'd stay on the bench as long as humanly possible
HLCL-231|lunch in the capital I sat at our assigned table and commiserated with Congresswoman Nancy Pelosi the Democratic leader in the House of Representatives who I think is one of the shrewdest most effective politicians in Washington
HLCL-232|she deserves enormous credit for marshalling the votes for the 2010
HLCL-233|Affordable Care Act under nearly impossible circumstances and for standing up for what's right whether she's in the majority or the minority
HLCL-234|Republicans have demonized her for years because they know she gets things done
HLCL-235|Senator John McCain of Arizona came over and gave me a hug
HLCL-236|he seemed nearly as distraught as I was
HLCL-237|the niece of a top official in the incoming Trump Administration came over to introduce yourself and whisper in my ear that she had voted for me but was keeping it a secret
HLCL-238|Congressman Ryan zinke soon-to-be Trump's interior secretary brought his wife
HLCL-239|this was somewhat surprising considering that in 2014 he had called me the Antichrist
HLCL-240|maybe he'd forgotten because he didn't come equipped with any garlic or wooden Stakes
HLCL-241|Christ but I hadn't forgotten
HLCL-242|you know Congressman I said I'm not actually the Antichrist
HLCL-243|he was taking a bath and mumbled something about not having mented
HLCL-244|one thing I've learned over the years is how easy it is for some people to say horrible things about me when I'm not around
HLCL-245|but how hard it is for them to look me in the eye and say it to my face
HLCL-246|I talked with Tiffany Trump about her plans to attend law school
HLCL-247|I kidded with Republican senator John cornyn about how I performed much better than expected in his state of Texas
HLCL-248|in the president's remarks at lunch when he was away from the glare of his angry supporters
HLCL-249|Trump thanked billing me for coming then finally we could leave
HLCL-250|little did I know that the first controversy of the new administration had already begun over the size
HLCL-251|crowd at the inauguration as is its practice the u.s. National Park Service quickly public photos to
HLCL-252|this time the new president disputed the photographic evidence showing only a modest and demanded that the park service that the crowds were huge
HLCL-253|this phone in the face of what we could all see with our own eyes
HLCL-254|I had the same view trumped-up there on the platform
HLCL-255|compare it to what I had seen at inaugural since 1993
HLCL-256|I understood why he became so defensive
HLCL-257|there really was a difference
HLCL-258|the episode was silly but also an early warning
HLCL-259|we were in A Brave New World
HLCL-260|if the inauguration on Friday was the worst of times
HLCL-261|Saturday turned out to be the best of times
HLCL-262|I decided to stay at home in Chappaqua New York rather than attend the woman's March protesting the new president
HLCL-263|it was another tough call I wanted badly to join the crowds and chant my heart out
HLCL-264|but I believed it was important for new voices to take the stage especially on this day
HLCL-265|there are so many exciting young women leaders ready to play bigger roles in our politics
HLCL-266|the last thing I wanted was to be a distraction from the genuine outpouring of Grassroots energy
HLCL-267|if I showed up nasty politics would unavoidably follow
HLCL-268|so I sat on my couch and watched in Delight as the networks reported huge crowds and dozens of cities across the United States and around the world
HLCL-269|friend sent me excited reports of pack subway cars and streets overflowing with women and
HLCL-270|anabol ages I scrolled through Twitter and sent out gratitude and Good Vibes
HLCL-271|the women's March was the biggest single protest in American history
HLCL-272|hundreds of thousands of people gathered in cities like New York Los Angeles and Chicago
HLCL-273|thousands also turned out in places like Wyoming and Alaska
HLCL-274|in Washington the March dwarf the crowd that had gathered to see Trump's inauguration the day before
HLCL-275|it was completely peaceful maybe that's what happens when you put women in charge
HLCL-276|it was a far cry from what happened when women first marched on Washington the day before Woodrow Wilson's Inauguration in 1913
HLCL-277|thousands of suffragettes troop down Pennsylvania Avenue demanding the right to vote including ours Paul Helen Keller and Nellie Bly
HLCL-278|Mainline the way gawking jeering and eventually turning into an angry mob
HLCL-279|the police did nothing and scores of Marchers were injured
HLCL-280|the violence through the nation's attention to the suffragette cause
HLCL-281|the superintendent of police was fired Congress held hearings and 7 years later the 19th Amendment to the Constitution was ratified granting women the right to vote
HLCL-282|nearly a century later we've made a lot of progress
HLCL-283|but our new president was a painful reminder of how far we still had to go
HLCL-284|that's why millions of women and many support of men were pouring into the streets
HLCL-285|I will confess that that day was bittersweet
HLCL-286|for years all over the world I had seen women driving Grassroots movements assuming power for themselves and their communities forcing warring armies to the peace table
HLCL-287|we riding the Destinies of Nations
HLCL-288|where we now seeing the stirrings of something similar in the streets of our own country
HLCL-289|it was all inspiring as I said on Twitter at the end of the day
HLCL-290|I couldn't help but ask where those feelings of solidarity outrage and passion had been during the election
HLCL-291|since November more than two dozen mostly in their twenties theaters and stores to apologize for not voting for not doing more to help my campaign
HLCL-292|I responded with Force miles and type nods
HLCL-293|on one occasion an older woman dragged her adult Daughter by the arm to come talk to me and ordered her to apologize for not voting
HLCL-294|which she did had bowed in contrition
HLCL-295|I wanted to stare right in her eyes at the say you didn't how could you not vote you abdicated your responsibility as a citizen at the worst possible time and now you want me to make you feel better
HLCL-296|of course I didn't say any of that
HLCL-297|these people were looking for absolution that I just couldn't give
HLCL-298|we all have to live with the consequences of our decisions
HLCL-299|there had been a lot of days since the election when I wasn't in a very forgiving mood toward anyone including myself
HLCL-300|I was and still am worried about our country
HLCL-301|something is wrong how could 62 million people vote for someone they heard on tape repeated sexual assault
HLCL-302|how could you attack women immigrants Muslims mexican-americans prisoners-of-war and people
HLCL-303|disabilities and as a businessman accused of scamming countless small businesses contractors students and seniors
HLCL-304|and still be elected to the most important and Powerful job in the world
HLCL-305|how can we as a nation allow Untold thousands of Americans to be disenfranchised by voter suppression laws
HLCL-306|why did the media decide to present the controversy over my emails as one of the most important political stories since the end of World War II
HLCL-307|how did I let that happen how did we
HLCL-308|for all my concerns watching the women's March I couldn't help but be swept up in the joy of the moment and feel the unmistakable Vitality of American democracy was reasserting itself before our eyes
HLCL-309|my Twitter feed filled up with photos of Marchers holding funny poignant indignant signs
HLCL-310|so bad even introverts are here
HLCL-311|9 and not giving up
HLCL-312|science is not a liberal conspiracy
HLCL-313|one adorable little boy had this message around his neck
HLCL-314|I love naps but I stay woke
HLCL-315|I also saw young girls holding up quotes from my speeches over the years
HLCL-316|women's rights are human rights
HLCL-317|I am powerful and valuable
HLCL-318|on a tough weekend seeing those words lifted my spirits
HLCL-319|the people in the streets were sending a message to me and all of us
HLCL-320|don't give up this country is worth fighting for
HLCL-321|for the first time since the election
HLCL-322|I felt hopeful just keep going no feeling is final
HLCL-323|Rainer Maria rilke and gratitude
HLCL-324|November 9th it was cold and raining in New York City
HLCL-325|crowds on the sidewalks turn to face my car as we drove past
HLCL-326|some people were crying some raise their hands or cysts and solidarity
HLCL-327|there were little kids held Aloft by their parents
HLCL-328|this time seeing that made my heart sink instead of sore
HLCL-329|my team had scrambled to find a hole for my concession speech
HLCL-330|The Soaring Jacob K Javits Convention Center Atrium where we had hoped to hold a victory party wasn't an option
HLCL-331|at 3:30 a.m. after scouting a few locations our Advance staff walked into the lobby of the New Yorker Hotel in Midtown Manhattan not far from where my family and I were staying
HLCL-332|they asked the concierge to call and wake up the manager at home
HLCL-333|at 4:30 a.m. they started to prepare one of the hotel's ballrooms for an event everyone is hoped would never happen
HLCL-334|I learned later that the New Yorker was where Muhammad Ali recuperated after losing a bitterly fought 15-round heavyweight championship fight to rival Joe Frazier in 1971
HLCL-335|I never wanted to lose never thought I would but the thing that matters is how you lose at least said the following day
HLCL-336|I'm not crying my friends should not cry
HLCL-337|if we wrote it in a movie no one would believe it
HLCL-338|that morning Bill and I both wore purple
HLCL-339|it was a nod to bipartisanship Blue plus red equals purple
HLCL-340|the night before I'd hoped to thank the country wearing white the color of the suffragettes while standing on a stage cut into the shape of the United States under a vast glass ceiling
HLCL-341|we had really gone the distance on the symbolism
HLCL-342|instead the white suit stayed in the Garment
HLCL-343|out came the gray and purple one I had intended to wear on my first trip to Washington as president elect
HLCL-344|after I finish speaking I hugged as many people in the ballroom as possible
HLCL-345|there were lots of old friends and devoted campaign staffers many of their faces wet with tears
HLCL-346|I was dry I'd and felt calm and clear
HLCL-347|my job was to get through this morning smile
HLCL-348|be strong for everyone and show America that life went on and our Republic would endure
HLCL-349|a lifespan in the public eye has given me lots of practice at that
HLCL-350|I wear my composure like a suit of armor for better or worse
HLCL-351|in some ways it felt like I had been training for this latest ft of self-control for decades
HLCL-352|still everytime I call another sobbing friend
HLCL-353|oronce stoically blinking back tears which was almost worse
HLCL-354|I had to fight back a wave of sadness that threatened to swallow me whole
HLCL-355|at every step I felt that I had let everyone down
HLCL-356|because I had Bill Chelsea and her husband Mark were by my side as they had been throughout
HLCL-357|so we're Tim Kaine and his wife and Holton
HLCL-358|the word extraordinary kind and strong under these wrenching circumstances
HLCL-359|I chose him for my running mate out of a superb field of candidates because he had executive experience a stellar record as mayor governor and Senator a well-deserved reputation for decency and good judgment and he was fluent in Spanish from his time as a missionary
HLCL-360|he would have been an effective partner and truth-teller as my vice president
HLCL-361|also I like him a lot after delivering hugs and smiling so long and hard that my face eight
HLCL-362|I asked my senior team to go back to our headquarters in Brooklyn and make sure everyone was okay
HLCL-363|one final way to the crowd a final Tim and
HLCL-364|a quick hug and kiss for Chelsea and Mark who
HLCL-365|everything I felt without me having to say a word
HLCL-366|and Dylan I got into the backseat of a secret service band and were driven away
HLCL-367|I could finally let my smile drain away
HLCL-368|we were mostly quiet every few minutes bill would repeat what he had been staying all morning
HLCL-369|I'm so proud of you too that he now added
HLCL-370|that was a great speech history will remember it
HLCL-371|I loved him for saying it but I didn't have much to say in return
HLCL-372|I felt completely and totally depleted
HLCL-373|and I knew things would feel worse before they started feeling better
HLCL-374|it takes about an hour to drive from Manhattan to our home in Chappaqua
HLCL-375|we live at the end of a quiet street full of trees and whatever stress I'm feeling usually vanishes
HLCL-376|whenever I turn up the cul-de-sac I absolutely love our old house and I'm always happy to be home
HLCL-377|it's cozy Colorful full of Art and every surface is covered with photos of the people I love best in the world
HLCL-378|that day the side of our front gate was pure relief to me
HLCL-379|all I wanted to do was get inside change into comfy clothes and maybe not answer the phone ever again
HLCL-380|I'll confess that I don't remember much about the rest of that day
HLCL-381|I put on yoga pants in a fleece almost immediately
HLCL-382|our two sweet dogs followed me from room to room and I took them outside and just breathe the cold rainy air
HLCL-383|every once in awhile I turn on the news but then turn it off almost immediately
HLCL-384|question blaring in my head was how did this happen
HLCL-385|fortunately I had the good sense to realize that diving into a campaign post-mortem right then would be about the worst thing I could do to myself
HLCL-386|losing is hard for everyone but losing a race you thought you would win is devastating
HLCL-387|I remember when Bill lost his re-election as governor of Arkansas in 1980
HLCL-388|he was so distraught at the outcome that I had to go to the hotel where the election night party was held to speak to his supporters on his behalf
HLCL-389|good while afterward he was so depressed that he practically couldn't get off the floor
HLCL-390|that's not me I keep going I also stew and ruminate
HLCL-391|I run to the tape over and over identifying every mistake especially those made by me
HLCL-392|when I feel wronged I get mad and then I think about how to fight back
HLCL-393|that first day I just felt tired and empty
HLCL-394|the Reckoning was still to come at some point we ate dinner
HLCL-395|we facetimed with our grandchildren two-year-old Charlotte and her baby brother Aiden born in June 2016
HLCL-396|I was reassured to see their mom I knew Chelsea was hurting for me which in turn hurt to think about
HLCL-397|but those kids are an instant mood boost for all of us
HLCL-398|we quietly drank them in that day and every day after
