NDGTYT-1||[Music] so chuck how often do you think about pollution
NDGTYT-91||the effect of this is the satellite is moving across your field of view and it's reflecting sunlight so you get a
NDGTYT-92||streak so other parts of your photo might be okay but suppose that street goes to the
NDGTYT-93||one object you're trying to look at right so you need a way to sort of subtract it out from the process we have
NDGTYT-94||people working on software to accomplish that right now we don't know how this is all going to shake out in the coming
NDGTYT-95||years so we're pre-loading our our data reduction utilities just to try to subtract them out i i'm told i
NDGTYT-96||just attended a a workshop on on satellite pollution where there was an agreement with elon musk for some of his
NDGTYT-97||satellites to use a a sunshade okay right so even though they're up there they will the the sun the sun will
NDGTYT-98||not reflect off of it down to us and it did improve the seeing conditions it did improve it
NDGTYT-99||but i think the whatever might be a long-term solution to this has not yet arrived
NDGTYT-100||so that that's what we're in the middle of now that is kind of crazy
NDGTYT-101||and the current most powerful telescope on earth okay is called the vera rubin telescope and it is designed to take
NDGTYT-102||movies of the night sky every single night that is pretty dope okay because think about
NDGTYT-103||it up until now we've been taking just snapshots okay so if the thing did something different an hour later after
NDGTYT-104||you're on the way back to the computer you missed it tough time you missed it missed out okay
NDGTYT-105||uh so it's taking a movie so that it's called um uh there's an entire branch of my field
NDGTYT-106||that concerns itself with things that change over time right because most images you're seeing
NDGTYT-107||is just a static picture of something right so the people who care about stuff that's changes in the universe
NDGTYT-108||this will be a delight for them and but now that we're taking movies we basically have movies of all these
NDGTYT-109||satellites crossing our field of view and we have to distinguish between that and what might be a killer asteroid
NDGTYT-110||moving across the field of view because this has an asteroid alert system built in
NDGTYT-111||wow so without i mean this sounds more
NDGTYT-112||important than it might appear because this ain't just looking at a telescope and going what is that oh
NDGTYT-113||that's some little elon musk junk don't worry about it and then it ends up being a killer
NDGTYT-114||asteroid yeah what is that oh that's a killer asteroid that we almost mistook for an elon musk satellite right right
NDGTYT-115||yeah right so yeah that's what we're confronting with right now
NDGTYT-116||the the buckets of pollution that influence the modern astrophysicist knows no bounds wow and none of it has
NDGTYT-117||anything to do with plastic or carbon dioxide what do you think of that well what we should have is an astrophysicist
NDGTYT-118||standing next to a rocket with a single tear rolling down [Laughter]
NDGTYT-119||that'll be a public service announcement all right right i'll volunteer i'll be the tiering
NDGTYT-120||astrophysicist for that space pollution you only you can stop spacecraft space pollution
NDGTYT-121||all right chuck that's all the time we got all right that was great all right the pollution the astronomers edition on
NDGTYT-122||star talk yet another explainer video neil degrasse tyson keep looking up [Music]
NDGTYT-123||you  
