LAFB-1||party of Ku Klux Klan Riders Gallop to our home in Omaha Nebraska
LAFB-54||I told them how East Lansing harassed us so much that we had to move again this time to miles out of town into the country
LAFB-55||this is where my father built for us with his own hands a four-room house
LAFB-56||this is where I really begin to remember things this home where I started to grow up
LAFB-58||the pistol they were looking for which they never found and for which they wouldn't issue a permit with sewed up inside a pillow
LAFB-59||my father's 22 rifle and a shotgun though were right out in the open everyone had them for hunting birds and rabbits and other game
LAFB-60||after that my memories are of the friction between my father and mother
LAFB-61||they seem to be nearly always at odds sometimes my father would beat her
LAFB-62||it might have had something to do with the fact that my mother had a pretty good education
LAFB-63||where she got it I don't know but an educated woman I suppose can't resist the temptation to correct an uneducated man
LAFB-64||every now and then when she put those smooth words on him he would grab her
LAFB-65||my father was also belligerent toward all of the children except me
LAFB-66||the older ones he would be almost savagely if they broke any of his rules and he had so many rules it was hard to know them all
LAFB-67||nearly all my whippings came from my mother I thought a lot about why
LAFB-68||I actually believe that is anti-white as my father was he was subconsciously so Afflicted with the white man's brainwashing of negroes that he inclined to favor the light ones and I was his lightest job
LAFB-69||most negro parents in those days would almost instinctively treat any lighter children better than they did the darker ones
LAFB-70||it came directly from the slavery tradition that the mulatto because he was visibly nearer to White was there for better
LAFB-71||my two other images of my father were both outside the home one was his role as a Baptist preacher
LAFB-72||he never Pastor than any regular church of his own he was always a visiting preacher
LAFB-73||I remember especially his favorite sermon
LAFB-74||that little black train is a coming and you better get all your business right
LAFB-75||I guess this also fit his association with the back to Africa movement with Marcus garvey's Black Train Homewood
LAFB-76||my brother filbert the one just older than me love to church but it confused and amazed me I would sit goggle-eyed at my father jumping and shouting as he preached with the congregation jumping and shouting behind him this souls and bye
LAFB-78||I had very little respect for most people who represented religion
LAFB-79||it was in his role as a preacher that my father had most contact with the Negroes of Lansing believe me when I tell you that those Negroes were in bad shape then they are still in bad shape though in a different way
LAFB-80||by that I mean I don't know what town do the higher percentage of complacent misguided so-called middle-class Negroes the typical status symbol oriented integration seeking type negro
LAFB-81||just recently I was standing in the lobby at the United Nations talkin with an African Ambassador and his wife when a negro came up to me and said you know me
LAFB-82||I was a little embarrassed because I thought he was someone else
LAFB-84||back when I was growing up the successful lanzini grows with such as waiters and bootblacks
LAFB-85||to be a janitor at some downtown store was to be highly respected
LAFB-86||the real elite the big shots the voices of the race with the waiters at the Lansing Country Club and the shoeshine boys at the state capitol
LAFB-87||the only Negroes really had any money with the ones in the numbers record or who ran the gambling houses or who in some other way live parasitically off the poorest ones who were the masses
LAFB-88||no Negroes were hired then by Landings big Oldsmobile plant or the real plant do you remember the Rio it was
LAFB-89||Orchard in Lansing and re old the man after whom it was named also lived in Lansing when the war came along they hired some negro janitors
LAFB-90||the bulk of the Negroes were either on welfare or WPA or they starved
LAFB-91||the day was to come when our family was so poor that we would eat the whole out of a donut
LAFB-92||but at that time we will much better off than most Town Negroes
LAFB-93||the reason was that we raised much of our own food out there in the country where we were
LAFB-94||we were much better off than the town Negroes who would shout as my father preached for the pie-in-the-sky and their heaven in the Hereafter while the white man had his here on Earth
LAFB-95||I knew that the collections my father God for his preaching were mainly what fed enclosed us and he also did other odd jobs but still the image of him that made me proudest was his crusading and Millington
LAFB-96||campaigning with the words of Marcus Garvey
LAFB-97||as young as I was then I knew from what I overheard that my father was saying something that made him a tough man
LAFB-98||I remember an old lady grinning and saying to my father you're scaring these white folks to death
LAFB-99||one of the reasons I've always felt that my father favored me was that to the best of my remembrance
LAFB-100||it was only me that he sometimes took with him to the Garvey unia meetings which he held quietly in different people's homes
LAFB-101||there were never more than a few people at any one time 20 at most but that was a lot packed into someone's living room
LAFB-102||I noticed how differently they all acted although sometimes they were the same people who jumped and shouted in church
LAFB-103||but in these meetings both day and my father were more intense more intelligent and down-to-earth it made me feel the same way
LAFB-104||I can remember hearing of Adam driven out of the go
LAFB-105||into the caves of Europe Africa for the Africans Ethiopians awake
LAFB-107||I remember seeing the Big Shiny photographs of Marcus Garvey that were passed from hand to hand
LAFB-108||my father had a big envelope of them that he always took to these meetings
LAFB-109||the picture showed what seemed to me millions of negroes thronged in parade behind Garvey riding in a fine car a big black man dressed in a dazzling uniform with gold braid on it
LAFB-110||and he was wearing a thrilling hat with tall plumes
LAFB-111||I remember hearing that he had black follow was not only in the
LAFB-112||nited States but all around the world and I remember how the meetings always closed with my father saying several times and the people chatting after him up you might he race you can accomplish what you will
LAFB-113||I've never understood why after hearing is much as I did at these kinds of things I somehow never thought then of the black people in Africa
LAFB-114||my image of Africa at that time was of naked Savages cannibals monkeys and tigers and steaming jungles
LAFB-115||my father would drive his old black touring car sometimes taking me to meeting places all around the Lansing area
LAFB-116||I remember one daytime meeting most were at night in the town of Owosso 40 miles from Lansing which the Negroes called White City
LAFB-117||Owasso greatest claim to fame is that it is the hometown of Thomas E Dewey
LAFB-118||as in East Lansing no Negroes were allowed on the streets there after doc hence
LAFB-120||Mister lion to be the famous football star at Mason High School and was highly thought of in Mason and consequently he now worked around that town in menial jobs
LAFB-121||my mother at this time seem to be always working cooking washing ironing cleaning and fussing over us eight children and she was usually either arguing with or not speaking to my father
LAFB-123||I've said that my mother was the one who whipped me at least she did whenever she wasn't ashamed to let the neighbors think she was killing me
LAFB-124||but even if she acted as though she was about to raise her hand to me I would open my mouth and let the world know about
LAFB-125||if anybody was passing by out on the road she would either change your mind or just give me a few licks
LAFB-126||thinking about it now I feel definitely that just as my father favored me for being lighter than the other children my mother gave me more hell for the same reason
LAFB-127||she was very light herself but she favored the ones who would darker Wilfred I know was particularly her angel
LAFB-128||I remember that she would tell me to get out of the house and let the sun shine on you so you can get some color
LAFB-129||she went out of her way to never let me become Afflicted with a sense of color superiority
LAFB-130||I am sure that you treated me this way partly because of how she came to be light herself
LAFB-131||I learned early the crying out in protest could accomplish things
LAFB-132||my older brothers and sisters had started to school when sometimes they would come in and ask for a Buttered Biscuit of something in my mother and patiently would tell them no
LAFB-133||but I would cry out and make a fuss until I got what I want
LAFB-135||not only did we have our big Garden but we raised chickens
LAFB-136||my father would buy some baby chicks and my mother would raise them
LAFB-137||we all loved chicken that was one dish there was no argument with my father about
LAFB-138||one thing in particular that I remember made me feel grateful toward my mother was at one day I went and asked her for my own garden and she did let me have my own there
LAFB-139||W I loved it and took care of it well
LAFB-141||at 5 I to began to go to school
LAFB-142||leaving home in the morning along with Wilfred Hilda and Filbert
LAFB-143||it was the Pleasant Grove School that went from kindergarten through 8th grade
LAFB-144||it was two miles outside the city limits and I guess there was no problem about our attending because we were the only Negroes in the area
LAFB-145||in those days white people in the north usually would adopt just a few Negroes they didn't see them as any threat
LAFB-146||the white kid didn't make any great thing about it's either they called us.
LAFB-147||daki and rastas so much that we thought those were unnatural names but they didn't think of it as an insult it was just the way they thought about us
LAFB-148||one afternoon in 1931 when Wilfred Hilda filbert not came home
LAFB-149||my mother and father were having one of their arguments they had been lately a lot of tension around the house because of black Legion threats anyway my father had taken one of the rabbits which we were raising and ordered my mother to cook it
LAFB-150||we raised rabbits but sold them to whites
LAFB-151||my father had taken a rabbit from the rabbit pin he had pulled off the rabbit's head he was so strong he needed no knife to behead chickens are rabbits with one Twist of his big black hands is simply Twisted off the head and through the bleeding naked thing back at my mother's feet
LAFB-152||my mother was crying she started to skin the rabbit Preparatory to cooking it
LAFB-153||but my father was so angry he slammed on out of the front door and started walking up the road towards
LAFB-154||it was then that my mother had this vision
LAFB-155||she's always been a strange woman in this sense and it always had a strong intuition two things about to happen and most of our children with the same way I think
LAFB-156||what something is about to happen I can feel something sent something
LAFB-157||I've never known something to happen that is caught me completely off-guard except once
LAFB-158||and that was when years later I discovered facts I couldn't believe about a man who up until that discovery
LAFB-159||I would gladly have given my life for my father was well up the road with my mother and screaming out onto the porch
LAFB-160||pre plucked up an apron in one hand and ran down across the yard and into the road
LAFB-161||my father turned around he saw her for some reason considering how angry he had been when he left he waved at her
LAFB-162||but he kept on going she told me later my mother did that she had a vision of my father's end
LAFB-163||all the rest of the afternoon she was not herself
LAFB-164||crying and nervous and upset she finished cooking the rabbit and put the whole thing in the warmer pot of the black stove
LAFB-165||when my father was not back home by our bedtime
LAFB-166||my mother hug and clutched us and we felt strange not knowing what to do because she had never acted like that
LAFB-167||I remember waking up to the sound of my mother screaming again
LAFB-168||when I scrambled out I saw the police in the living room they were trying to calm her down she had snatched on her clothes to go with them and all of us children who were staring new without anyone having to say it that something terrible that happened to our father
LAFB-169||my mother was taken by the police to the hospital into a room where is sheet was over my father in the bed and she wouldn't look she was afraid to look
LAFB-170||probably it was wise but she didn't my father's skull on one side was crushed and I was told later
LAFB-171||Negroes in Lansing of always whispered that he was attacked and then laid across some tracks for A Streetcar to run
LAFB-172||over his body was cut almost in half
LAFB-173||he live two and a half hours in that condition
LAFB-174||Negroes Den was stronger than they are now specially Georgia Negroes
LAFB-175||Negroes born in Georgia had to be strong simply to survive
LAFB-176||it was morning when we children at home got the word that he was dead
LAFB-177||I was six I can remember a vague commotion the house filled up with people crying saying bitterly that the white black Legion had finally gotten him
LAFB-178||my mother was hysterical in the bedroom when will holding smelling salts under her nose she was still hysterical at the funeral
LAFB-179||I don't have a very clear memory of the funeral either
LAFB-180||oddly the main thing I remember is that it wasn't in a church and that surprised me since my father was a preacher and I had been where he preached people's funerals in churches but his was in a funeral home
LAFB-181||and I remember the during the service a big black fly came down and land
LAFB-182||my father's face and Wilfred spring up from his charity shooed the fly away and he came groping back to his chair they were folding chairs for us to sit on and the tears were streaming down his face
LAFB-183||when we went by the casket I remember that I thought it looked as if my father's strong blackface have been dusted with flour and I wish they hadn't put on such a lot of it
LAFB-184||back in the big four-room house they were many visitors for another week or so
LAFB-185||they were good friends of the family such as the lions from Mason 12 miles away in the Walkers mcgwire's list goes the greens Randolph and the Turners and others from Lansing and a lot of people from other towns who might seen at the Garvey meetings
LAFB-186||we children adjusted more easily than our mother did
LAFB-187||we couldn't see as clearly as she did the trials that lay ahead
LAFB-188||as the visitors tapered off she became very concerned about collecting the to ensure
LAFB-189||policies that my father had always been proud he carried he had always said that family should be protected in case of death
LAFB-190||one policy apparently paid off without any problem the smaller one I don't know the amount of it I would have imagined it was not more than $1,000 and maybe half of that
LAFB-191||but after that money came in my mother had paid out a lot of it for the funeral and expenses she began going into town and returning very upset
LAFB-192||the company that issued the biggest policy was balking at paying off they were claiming that my father had committed suicide
LAFB-193||visitors came again and it was bitter talked about white people
LAFB-194||How Could my father Bears himself in the head then get down across the street car tracks to be run over
LAFB-195||so there we were my mother was 34 years old now with no husband no provider or protector
LAFB-196||take care of her eight children but some kind of family routine got going again and for as long as the first insurance money lasted we did all right
LAFB-197||Wilfred who was a pretty stable fellow began to act older than his age
LAFB-198||I think he had the sense to see when the rest of us didn't what was in the wind for us
LAFB-199||he quietly quit school and went to town in search of work
LAFB-200||he took any kind of job you could find and he would come home dog tired in the evenings and give whatever he had made to my mother
LAFB-201||Hilda who had been quiet too attended to the babies
LAFB-202||Gilbert and I didn't contribute anything we fought all the time each other at home and then it's cool we would team up and fight white kid sometimes the fights would be racial in nature but they might be about anyting
LAFB-203||Reginald came under my wing since he had grown out of the toppling stage he and I had to come very close
LAFB-204||I suppose I enjoyed the fact that he was the little one under me who looked up to me
LAFB-205||my mother began to buy on credit my father had always been very strongly against credit
LAFB-206||credit is the first step into debt and back into slavery he it always said
LAFB-207||and then she went to work herself she would going to Lansing to find different jobs in housework or sewing for white people
LAFB-208||they didn't realize usually that she was a negro a lot of white people around there didn't mark Negroes in that houses
LAFB-209||she would do fine until someway or eyelid got two people who she was whose widowed she was and then she would be let go
LAFB-210||I remember how she used to come home crying but trying to hide it because she had lost the job that she needed so much
LAFB-211||once when one of us I cannot remember which had to go for something to where she was working and the people Sauced and realize she was actually a negro she was fired on the spot
LAFB-212||and she came home I'm crying this time not hiding it
LAFB-213||when the state welfare people began coming to our house we would come from school sometimes and find them talkin with our mother asking a thousand questions
LAFB-214||they acted in look at her and that us and around in our house and awake that had about it the feeling at least for me that we will not people in their eyesight we were just things that was all
LAFB-216||we began to go swiftly downhill the physical downhill wasn't as quick as the psychological my mother was above everything else a proud woman and it took
LAFB-217||toll on her that she was accepting charity and her feelings will communicated to us
LAFB-219||but the monthly welfare check was there pass
LAFB-220||they acted as if they owned us as if we were their private property as much as my mother would have liked to she couldn't keep them out
LAFB-221||she would get particularly incensed when they began insisting upon drawing us older children aside one at a time out on the porch or somewhere and asking us questions or telling us things against our mother and against each other
LAFB-222||we couldn't understand why if the state was willing to give us packages of meat sacks
LAFB-223||bagels and fruit and cans of all kinds of things I will mother obviously hate it too except we really couldn't understand
LAFB-224||what I later understood was that my mother was making a desperate effort to preserve her pride and hours
LAFB-225||Pride was just about all we had to preserve for by 1934 we really began to suffer this was about the worst depression year
LAFB-226||and no one we knew had enough to eat all live on
LAFB-227||some old family friends visited us now and then at first they brought food though it was charity my mother took
LAFB-228||Wilfred was working to help my mother was working when she could bind any kind of job
LAFB-229||in Lansing there was a bakery store for a nickel a couple of us children would buy at all flour sack of day-old bread and cookies and then walk the two
LAFB-230||files back out into the country to our house
LAFB-231||our mother knew I guess dozens of ways to cook things with bread and out of bread
LAFB-232||stewed tomatoes with bread maybe that would be a meal
LAFB-233||something like French toast if we had any eggs
LAFB-234||bread pudding sometimes with raisins in it
LAFB-235||if we got a hold of some hamburger it came to the table more bread than meat
LAFB-236||the cookies that will always in the sack with the bread we just gobbled down straight
LAFB-237||but there were times when there wasn't even a nickel
LAFB-238||and we would be so hungry we would dizzy my mother would boil a big pot of dandelion greens and we would eat that
LAFB-239||I remember that some small minded neighbor put it out
LAFB-240||children with teases and we ate fried grass
LAFB-241||sometimes if we were lucky we would have oatmeal or cornmeal mush three times a day or mush in the morning and Cornbread at night
LAFB-242||filbert and I were grown-up enough to quit fighting
LAFB-243||long enough to take the 22 caliber rifle that have been our fathers and shoot rabbits at some white neighbors up or down the road would buy
LAFB-244||I know now they just did it to help us because they like everyone shot their own rabbits
LAFB-245||sometimes I remember filbert and I would take little Reginald along with us he wasn't very strong but he was always so proud to be alone
LAFB-246||we would trap muskrats out in a little creek and back of our house and we would like quiet until unsuspecting bullfrogs appeared and we would spear them cut off their legs and sell them for a nickel a two people who lived up and down the road
LAFB-247||the white seemed less restricted in their dietary taste
LAFB-248||then in about late 19:34 I would guess something began to happen
LAFB-249||some kind of psychological deterioration hit our family Circle began to eat away our pride
LAFB-250||perhaps it was the constant tangible evidence that we would destitute
LAFB-251||we had known of the families who have gone laundry
LAFB-252||we had known without anyone in our home ever expressing it that we had felt prouder not to be at the Depot where the free food was passed out and now we were among them
LAFB-253||it's cool the awesome relief finger suddenly was pointed at us too and sometimes it was said aloud
LAFB-254||it seemed that everything to eat in our house was stamped not to be sold
LAFB-255||old welfare food boil this stamp to keep the recipients from selling it
LAFB-256||it's a wonder we didn't come to think of not to be sold as a brand name
LAFB-257||sometimes instead of going home from school I walked the two miles up the road to Lansing
LAFB-258||I began drifting from store to store hanging around outside with things like apples were displayed in boxes and barrels and baskets and I would watch my chance and steal me a tree
LAFB-259||you know what a treat was to me anyting
LAFB-260||or I began to drop in about dinner time at the home of some family that we knew I knew that they knew exactly why I was there but they never embarrass me by letting on they would invite me to stay for supper and I would stuff myself
LAFB-261||especially I like to drop in and visit the go harnesses home
LAFB-262||they were nice older people and great church-goers I had watched them lead the jumping and shouting when my father preached
LAFB-263||they had living with them they were raising him a nephew who everyone called big boy and he and I got along fine
LAFB-265||Malcolm is one thing I like about you you're no good what you don't try to hide it you are not a hypocrite
LAFB-266||the more I began to stay away from home and visit people and steal from the store's the more aggressive I became in my inclination I never wanted to wait for anything
LAFB-267||I was growing up fast physically more so than mentally
LAFB-269||when I began to get caught stealing now and then the state welfare people began to focus on me when they came to our house I can't remember how I first became aware that they were talking of taking me away
LAFB-270||what I first remember along that line was my mother raising a
LAFB-271||about being able to bring up her own children
LAFB-272||she would whip me for stealing and I will try to alarm the neighborhood with my yelling
LAFB-273||one thing I've always been proud of is that I never raised my hand against my mother
LAFB-274||in the summertime at night in addition to all the other things we did some of us boys would slip out down the road or across the pastures and go cooning watermelon
LAFB-275||white people always Associated watermelons with Negroes and they sometimes called Negroes Coombs among all the other names and so stealing watermelons they came cooling them
LAFB-276||if white boys would doing it it implied that they were only acting like Negroes
LAFB-277||whites have always hidden or Justified all the gifts they could buy ridiculing or blaming Negroes
LAFB-278||one Halloween night I remember that a bunch of us were out tipping over those old country outhouses
LAFB-279||in one old farmer I guess he had tipped over enough in his day had set a trap for us
LAFB-280||always you sneak up from behind the Outhouse then you gain together and push it to tip it over
LAFB-281||this farmer had taken his outhouse off the whole and set it just in front of the whole
LAFB-282||well we came sneaking up in single file in the darkness and the two white boys in the lead fell down into the Outhouse hole neck-deep
LAFB-283||they smelled so bad it was all we could stand to get them out and that finished us all for that Halloween
LAFB-284||I had just missed falling in myself the whites was so used to taking the lead this time it had really gotten them in the hole
LAFB-285||Gus in various ways I learned various things
LAFB-286||I pick strawberries and though I can't recall what I got for crate for picking
LAFB-287||I remember that after working hard all one day
LAFB-288||I wound up with about a dollar which was a whole lot of money in those times
LAFB-289||I was so hungry I didn't know what to do
LAFB-290||I was walking away toward town with visions of buying something good to eat and this older white boy I knew Richard Dixon came up and asked me if I wanted to match nickels he had plenty of change for my dollar
LAFB-291||in about a half an hour he had all the change back including my dollar and instead of going to town to buy something I went home with nothing and I was bitter
LAFB-292||but that was nothing compared to what I felt when I found out later that he had cheated
LAFB-293||there's a way that you can catch and hold a nickel and make it come up the way you want
LAFB-294||this was my first lesson about gambling
LAFB-295||if you see somebody winning all the time he isn't gambling he's cheating
LAFB-296||later on in life if I were continuously losing in any gambling C
LAFB-297||wishing I would watch very closely it's like the Negro in America seeing the white man win all the time
LAFB-298||he's a professional Gambler he has all the cards and the odds stacked on his side and he has always dealt with our people from the bottom of the deck
LAFB-299||about this time my mother began to be visited by some Seventh-Day Adventists who would moved into a house not too far down the road from us
LAFB-300||they would talk to her for hours at a time and leave booklets and leaflets and magazines for her to read she read them and Wilfred who had started back to schools after we had the gun to get the relief Food Supplies also read a lot his head was forever in some book
LAFB-301||before long my mother spent much time with the Adventist it's my belief that what mostly influenced her was that they had even more diet restrictions than she had thought and practice with us
LAFB-302||like us they were against eating rabbit and pork
LAFB-303||they followed the Mosaic dietary laws they ain't nothing of the flesh without a split hoof or they didn't you cut
LAFB-304||we began to go with my mother to the aventus meetings that were held further out in the country
LAFB-305||a children I know that the major attraction was the good food they served but we listen to
LAFB-306||there were a handful of negroes from small towns in the area but I would say that it was 99% white people
LAFB-307||the Adventists felt that they were living at the end of time that the world soon was coming to an end
LAFB-308||but they were the friendliest white people I had ever seen in some ways though we children noticed and when we were back at home discussed that they were different from us such as the lack of enough seasoning in their food and the different way that white people smell
LAFB-309||meanwhile the state welfare people kept after my mother by now she didn't make it any secret that she hated them and didn't want them in her house but
LAFB-311||I think that they felt that getting children in the foster homes was a legitimate part of their function and the result would be less Troublesome however they went about it
LAFB-313||Dubai the welfare workers that our mother was losing her mind
LAFB-315||they were is vicious as vultures they had no feelings understanding Compassion or respect for my mother they told us she's crazy for refusing food
LAFB-316||right then was when our home our Unity began to disintegrate
LAFB-317||we were having a hard time and I wasn't helping but we could have made it we could have stayed to
LAFB-318||as bad as I was as much trouble and worry as I called my mother I loved her
LAFB-319||the state people we found out had an interview to go hannes family and the Gohan has had said that they would take me into their home my mother threw a fit do when she heard that and the home Wreckers took cover for a while
LAFB-320||it was about this time that the large dark man from Lansing began visiting
LAFB-321||I don't remember how or where he and my mother met
LAFB-322||it may have been through some mutual friends I don't remember what the man's profession was in 1935 and lensing Negroes didn't have anything you could call a profession
LAFB-323||but the man big and black looks something like my father
LAFB-324||I can't remember his name but there's no need to mention it he was a single man and my mother was a widow only 36 years old
LAFB-325||the man was independent naturally she admired that
LAFB-326||she was having a hard time disciplining us at a big man's presence alone would help
LAFB-327||and if she had a man to provide it would send the state people away forever
LAFB-328||we all understood without ever saying much about
LAFB-329||or at least we had no objection we took it in stride even with some amusement Among Us that when the man came our mother would be all dressed up in the best that she had
LAFB-330||she was still a good-looking woman and she would act differently lighthearted and laughing as we hadn't seen her act in years
LAFB-331||it went on for about a year I guess and then about 1936 or 1937
LAFB-332||the man from Lansing jilted my mother suddenly
LAFB-333||he just stopped coming to see her from what I later understood he finally backed away from taking on the responsibility of those eight mouths to feed
LAFB-334||he was afraid of so many of
LAFB-335||to this day I can see the Trap that my mother was in Saddle with all of us and I can also understand why he would shun taking on such a tremendous responsibility
LAFB-336||but it was a terrible shock to her it was the beginning of the end of reality for my mother
LAFB-337||when she began to sit around and walk around talking to herself almost as though she was unaware that we were there it became increasingly terrifying
LAFB-338||the state people saw her weakening and that was when they began the definite step to take me away from home
LAFB-339||they began to tell me how nice it was going to be at the Gowanus home where the go harnesses and big boy and Mrs Adcock at all said how much they like me and would like to have me live with them I like all of them too
LAFB-340||but I didn't want to leave Wilfred I looked up to and admire my big brother I didn't want to leave
LAFB-342||as my mother talked to herself more and more she gradually became less responsive to us and less responsible
LAFB-343||the house became less tidy we began to be more unkempt and usually now he'll decook
LAFB-344||we children watched our anchor giving way it was something terrible that you couldn't get your hands on yet you couldn't get away from
LAFB-345||it was a sensing that something bad was going to happen
LAFB-346||we younger ones lean more and more heavily on the relative strength of Wilfred and Hilda who were the oldest
LAFB-347||when finally I was sent to the galanes home at least in a surface way I was glad
LAFB-348||I remember that when I left home with the state man my mother said one thing don't let them feed him any Pig
LAFB-349||it was better in a lot of ways at the Gowanus
LAFB-350||big boy and I shared his room together and we hit it off nicely he just wasn't the same as my blood brothers
LAFB-351||the Gowanus is were very religious people
LAFB-353||it was spooky with ghosts and spirituals and ain't seeming to be in the very atmosphere when finally
LAFB-354||we all came out of the church going back home
LAFB-355||double harnesses in Mrs Adcock love to go fishing and some Saturdays big boy and I would go a long
LAFB-356||I had changed schools now to Lansing West Junior High School
LAFB-357||it was right in the heart of the Negro community in a few white kids were there but big boy didn't mix much with any of our schoolmates and I didn't either
LAFB-358||and when we went fishing neither he or I like the idea of just sitting in waiting for the fish to drip the cork under the water or make the tightline quiver when we fish that way
LAFB-359||I figured they should have been some smart a way to get the fish though we never discovered what it might be
LAFB-360||mystical harness was closed cronies with some other man who some Saturdays would take me and big boy with them hunting rabbits
LAFB-361||I had my father's 22 caliber rifle my mother had said it was all right to take it with me
LAFB-362||the old man had a set rabbit hunting strategy
LAFB-363||they had always used usually when a dog jumps a rabbit and the rabbit gets away that rabbit will always somehow instinctively run in a circle and return sooner or later past the very spot where he originally was jumped
LAFB-364||well the old man would just sit and wait in hiding somewhere for the rabbit to come back then get their shots at him
LAFB-365||I got to thinking about it and finally I thought of a plan
LAFB-366||I would separate from them and big boy and I would go to a point where I figured that the rabbit returning would have to pass me first
LAFB-367||it worked like magic I began to get three or four rabbits before they got one
LAFB-368||the astonishing thing was that none of the old men ever figured out why
LAFB-369||they outdid themselves explaining what a short shot I was
LAFB-370||I was about 12 then all I had done was to improve on their strategy and it was the beginning
LAFB-371||a very important lesson in life that anytime you find someone more successful than you are especially when you're both engaged in the same business you know they're doing something that you are
LAFB-372||I would return home to visit fairly often sometimes big boy and one or another or both of the go harnesses would go with me sometimes not
LAFB-373||I would be glad when some of them did go because it made the ordeal easier
LAFB-374||soon the state people were making plans to take over all of my mother's children
LAFB-375||she talked to herself nearly all of the time now and there was a crowd of new white people entering the picture always asking questions
LAFB-376||they would even visit me at the Go harnesses they would ask me questions out on the porch or sitting out in their cars
