BKOB-0||to Michelle my love and life partner
BKOB-42||but they've been shaped by a conversation I had with a stranger on the campaign Trail
BKOB-43||a visit to a military hospital or childhood lesson might received years earlier for my mother
BKOB-44||repeatedly my memories with toss-up seemingly incidental detail
BKOB-45||trying to find a discreet location to grab an evening smoke
BKOB-46||my staff and I having a laugh while playing cards aboard Air Force One
BKOB-47||that captured in a way the public record never could my lived experience during the eight years I've been in the White House
BKOB-48||beyond the struggle to put words on a page when I didn't fully anticipate was the way events would unfold during the three-and-a-half years after that last flight on Air Force One
BKOB-49||as I sit here the country remains in the grips of a global pandemic and the accompanying economic crisis
BKOB-50||with more than 178,000 Americans dead
BKOB-51||businesses shuttered and millions of people out of work
BKOB-52||Across the Nation people from all walks of life have poured into the streets to protest the deaths of unarmed black men and women at the hands of the
BKOB-53||perhaps most troubling of all our democracy seems to be teetering on the brink of crisis
BKOB-54||crisis rooted in a fundamental contest between two opposing visions of what America is and what it should be
BKOB-55||a crisis that has left the body politic divided angry and mistrustful
BKOB-56||and has allowed for an ongoing breach of institutional Norms procedural safeguards
BKOB-57||and the adherence to basic facts to both Republicans and Democrats once took for granted
BKOB-58||this contest is not new course in many ways it has defined the American Experience
BKOB-59||it's embedded in founding documents that could simultaneously Proclaim all men equal in the account as slaves as three-fifths of a man
BKOB-60||it finds expression in our earliest Court opinions is one the Chief Justice of the Supreme Court bluntly explains to Native Americans that their tribes rights to convey property aren't enforceable since the core
BKOB-61||conqueror has no capacity to recognize the just claims of the Conquered
BKOB-62||its a contest thats been fought on the fields of Gettysburg and Appomattox
BKOB-63||but also in Halls of Congress on a bridge in Selma
BKOB-64||Across The Vineyards of California and down the streets of New York
BKOB-65||a contest fought by soldiers but more often by Union organizers
BKOB-66||suffragists Pullman Porters student leaders waves of immigrants and lgbtq activists armed with nothing more than picket signs pamphlets
BKOB-67||or a pair of marching shoes at the heart of this long-running battle is a simple question
BKOB-68||do we care to match the reality of America to its ideals
BKOB-69||if so do we really believe that our Notions of self-government and individual freedom
BKOB-70||equality of opportunity and equality before the law
BKOB-71||apply to everybody
BKOB-72||are we instead committed in practice if not in statute
BKOB-73||preserving those things for a privileged few
BKOB-74||I recognize that there are those who believe that it's time to discard the myth
BKOB-75||an examination of America's past
BKOB-76||and an even cursory glance at today's headlines show that this nation's ideals have always been secondary to Conquest and subjugation a racial caste system and rapacious capitalism
BKOB-77||I'm at the pretend otherwise it to be complicit in a game that was rigged from the start
BKOB-78||and I confess that there have been times during the course of writing this book
BKOB-79||cuz I reflected on my presidency and all that's happened since
BKOB-80||when I've had to ask myself whether I was to temper and speaking the truth is I thought
BKOB-81||too cautious in either word or deed
BKOB-82||convinced as I was to buy a peeling to what Lincoln called the better angels of our nature I stood a greater chance of leading Us in the direction of the America
BKOB-84||what I can say for certain is that I'm not yet ready to abandon the possibility of America
BKOB-85||Not just for the sake of future generations of Americans
BKOB-86||but for all of humankind for I'm convinced that the pandemic we're currently living through is both a manifestation of
BKOB-87||and a mere interruption in the Relentless March towards an interconnected world
BKOB-88||one with peoples and cultures can't help but collide
BKOB-89||in that world of Global Supply chains instantaneous Capital transfers social media transnational terrorist networks climate-change mass migration and ever-increasing complexity
BKOB-90||you will learn to live together cooperate with one another
BKOB-91||and recognize the Dignity of others or we will perish
BKOB-92||and so the world watches America the only great power in history made up of
BKOB-93||people from every corner of the planet comprising every race and faith and cultural practice
BKOB-94||to see if our experiment in democracy can work
BKOB-95||to see if we can do what no other nation has ever done
BKOB-96||to see if we can actually live up to the meaning of our creed
BKOB-97||the jury's still out by the time its first volume of public and US election will have taken place
BKOB-98||and while I believe the stakes could not be higher
BKOB-99||I also know that no single election will settle the matter
BKOB-100||if I remain hopeful because I've learned to place my faith in my fellow citizens
BKOB-101||especially those of the next-generation whose conviction than the equal worth of all people seems to come as second nature
BKOB-102||and who insist on making real those principles that their parents and teachers told them were true
BKOB-103||but perhaps never fully believed themselves more than anyone
BKOB-104||this book is for those young people
BKOB-105||an invitation to once again remake the world
BKOB-106||and the bring about two hard work determination and a big dose of imagination
BKOB-107||an America that finally aligns with all that is best in US
BKOB-108||August 2020 part 1
BKOB-110||of all the rooms and halls and landmarks that make up the White House and its grounds it was a west colonnade that I love best
BKOB-111||for eight years that walkway would frame my day a minute-long open-air commute from home to office and Back Again
BKOB-112||it was where each morning I felt the first flap of Winter Wind or pulse of summer heat
BKOB-113||the place where I gather my thoughts taking through the meetings that lie ahead
BKOB-114||during Arguments for skeptical members of con
BKOB-115||anxious constituents girding myself for this decision or that slow-rolling crisis
BKOB-116||in the earliest days the White House the Executive offices in the first family's residence fit Under One Roof and the West Colonnade was little more than a path to the horse stables
BKOB-117||Teddy Roosevelt came in the office he determined that a single building couldn't accommodate a modern staff six boisterous children and his sanity
BKOB-118||he ordered the construction of what would become the west wing and Oval Office and over decades since successive presidencies the Colonnades current configuration emerged a bracket to the Rose Garden north and west
BKOB-119||the thick wall on the North side mute and unadorned save for high Halfmoon windows
BKOB-120||the stately white columns on the westside like an honor guard ensuring safe Passage
BKOB-121||as a general rule I'm a slow Walker a Hawaiian walk Michelle likes to say sometimes with a hint of impatience
BKOB-122||I walk differently though on the colonnade conscious of the history that been made there and those who had proceed me
BKOB-123||my strikeout longer my steps a bit brisk
BKOB-124||my footfall on Stone echoed by the Secret Service detail trailing me a few yards back
BKOB-125||when I reach the ramp at the end of The Colonnade the legacy of FDR in his wheelchair that picture I'm smiling chin out cigarette holder clenched tight in his teeth is he strains to roll up incline
BKOB-126||I'd wave at the uniformed guard just inside the glass pane door
BKOB-127||sometimes regard will be holding back a surprise block of visitors
BKOB-128||if I have time I would shake their hands and ask where they were from
BKOB-129||usually though I just turned left following the outer wall of the cabinet room and slipping into the side door by the Oval Office where I greeted my personal staff for at my schedule and a cup of hot tea
BKOB-130||and started the business of the day several times a week I would step out onto the colonnade to find the groundskeepers all employee
BKOB-131||the National Park Service working in the Rose Garden
BKOB-132||they were older men mostly dressed in green khaki uniforms sometimes match with a floppy hat to block the Sun or bulky coat against the cold
BKOB-133||if I wasn't running late I might stop to compliment them on the fresh planting sir asked about the Damage Done by the previous night's storm
BKOB-134||let explain their work with quiet Pride ever met a few words
BKOB-135||even with one another they made the points with a gesture or a nod
BKOB-136||each of them focused on his individual task but all of them moving with a synchronized Grace
BKOB-137||one of the oldest was Ed Thomas that's all wiry black man with sunken cheeks with worked at the White House for fourty years
BKOB-138||first time I met him he reached into his back pocket for a cloth to wipe off the dirt before shaking my hand
BKOB-139||his hand thick with knots like the roots of a tree engulfed mine
BKOB-140||that's how much longer intended to stay the white house before taking his retirement
BKOB-141||I do miss present he said I like to work
BKOB-142||get little hard on the joints but I reckon I might stay as long as you are here
BKOB-143||make sure the garden looks good oh how good that Garden look
BKOB-144||the Shady Magnolias Rising high at Each corner
BKOB-145||Hedges thick and rich green the crabapple trees pruned just so
BKOB-146||and the flowers cultivated greenhouses a few miles away providing a constant explosion of color
BKOB-147||Reds and yellows and pinks and purples
BKOB-148||in spring tulips Masten bunches their heads tilted toward the Sun
BKOB-149||in summer lavender heliotrope and geraniums in lilies
BKOB-150||in fall chrysanthemums and daisies and wildflowers
BKOB-151||always a few roses red mostly but sometimes yellow or white
BKOB-152||each one flush in its Bloom each time I walk down the Colonnade or looked out the window the Oval Office
BKOB-153||the handy work for the men and women who worked outside
BKOB-154||they reminded me of a small Norman Rockwell painting I kept on the wall next to the portrait of George Washington and above the bust of Dr. King
BKOB-155||5 tiny figures varying skin tones workingmen in dungarees
BKOB-156||hoisted up by ropes into a crisp Bluesky to polish the lamp of Lady Liberty
BKOB-157||the men in the painting The groundskeepers in the garden
BKOB-158||they were Guardians I thought the quite Priests of a good and solemn order
BKOB-159||I would tell myself that I needed to work as hard and take as much care in my job as they did in theres
BKOB-160||what time I walk down the colonnade would accumulate with memorys
BKOB-161||with a big public events of course announcements made before a Phalanx of cameras press conferences with foreign leaders
BKOB-162||but they were also the moments few others saw Malia and Sasha racing each other to greet me on a surprise afternoon visit
BKOB-163||or our dogs bowling Sunny bounding through the snow
BKOB-164||pause syncing so deep that The Chins were bearded White
BKOB-165||tossing footballs on a bright fall day or comforting and made after personal hardship
BKOB-166||such images would often flashed through my mind interrupting whatever calculations were occupying me
BKOB-167||they reminded me of time passing sometimes filling me with longing
BKOB-168||desire to turn back the clock and begin again
BKOB-169||this wasn't possible on my morning walk for time's Arrow moved only forward then
BKOB-170||the day's work beckoned I needed to focus on only those things to come
BKOB-171||the night was different on the evening walk back to the residence my briefcase stuffed with papers
BKOB-172||I would try to slow myself down sometimes even stop
BKOB-173||I breathe are laced with the scent of soil and grass and pollen
BKOB-174||and listen to the wind of the patter of rain I sometimes stared at the light against the
BKOB-175||the Regal master the White House the flag Aloft on the roof lit bright
BKOB-176||I look toward the Washington Monument piercing the black sky in the distance occasionally catching sight of the moon and stars above it
BKOB-177||or the twinkling of a passing jet in moments like these I would wonder if the strange path
BKOB-178||and the idea that it brought me to this place
BKOB-179||I don't come from a political family my maternal grandparents were midwesterners from mostly scots-irish.
BKOB-180||they would have been considered liberal especially by the standards of the depression-era Kansas towns they were born in and they were diligent about keeping up with the news
BKOB-181||it's part of being a well-informed citizen my grandmother whom we all called tute short for tootoo or grandma in Hawaiian what tell me. Over the top of her morning Honolulu Advertiser
BKOB-182||but she and my grandfather had no firm ideological or partisan
BKOB-183||Livingston speak out of beyond what they considered to be common sense
BKOB-184||I thought about work my grandmother was vice-president of escrow at one of the local banks my grandfather life insurance salesman and paying the bills and the small diversions that life had to offer
BKOB-185||and anyway they lived Oahu where nothing seemed that urgent
BKOB-186||after years spent in places as disparate has Oklahoma Texas and Washington State
BKOB-187||they finally moved to Hawaii in 1960 a year after its statehood was established
BKOB-188||a big ocean now separated them from riots and protests and other such things
BKOB-189||the only political conversation I can recall my grandparents having while I was growing up had to do with a Beachside bar
BKOB-190||Honolulu's mayor had torn down Grandpa's favorite Watering Hole in order to renovate the beachfront at the far end Waikiki
BKOB-191||Gramps never forgave him for it my mother and Dunham was different
BKOB-192||strong opinion my grandpa
BKOB-193||Sweet Child she rebelled against convention in high school reading beatnik poets and French existentialist joyriding with a friend to San Francisco 4 days without telling anyone
BKOB-194||the kid I just hear from her about civil rights marches why the Vietnam War was a misguided disaster
BKOB-195||about the women's movement yes unequal pay not as keen on not shaving her legs and the war on poverty
BKOB-196||when we move to Indonesia to live with my stepfather she made sure to explain the sins of government corruption
BKOB-197||just stealing barry even if everyone appeared to be doing
BKOB-198||later during the summer I turned twelve when we went on a month-long family vacation traveling across the United States she insisted we watched the Watergate hearings every night
BKOB-199||providing her own running commentary what do you expect from a McCarthy
BKOB-200||she didn't just focus on headlines either once when she discovered I've been part of a group that was teasing
BKOB-201||kid at school she sat me down in front of her lips pursed with dissapointment
BKOB-202||you know barry she said that's the nickname that she and my grandparents used for me when I was growing up often shortened to bear
BKOB-203||are people in the world who think only about themselves
BKOB-204||They don't care what happens to other people so long as they get what they want
BKOB-205||they put other people down to make themselves feel important
BKOB-206||Then there are people who do the opposite were able to imagine how others must feel and make sure that they don't do things that hurt people
BKOB-207||so she said looking at me squarely in the eye which got a person do you want to be
BKOB-208||I felt lousy as she intended it to
BKOB-209||her question stayed with me for a long time for my mother the world was full of opportunities for moral instruction
BKOB-210||but I never knew her to get involved in a political campaign
BKOB-211||like my grandparents she was suspicious of platforms doctrines Absolutes preferring to Express her values on a small
BKOB-212||or canvas complicated bear that's why it's interesting
BKOB-213||just made by the war in Southeast Asia she ended up spending most of her life
BKOB-214||absorbing the language and culture setting up microlending programs for people in poverty long before microcredit became trendy in international development
BKOB-215||appalled by racism she would marry outside her race not once but twice
BKOB-216||and go on to Lavish what seemed like an inexhaustible love
BKOB-217||on her two Brown children incensed by societal constraints put-upon women she divorced both men when they proved overbearing or disappointing
BKOB-218||carving out a career of her own choosing raising her kids according to her own standards of decency and pretty much doing whatever she damn well pleased
BKOB-219||in my mother's world the personal really was political now that she would have had much use for the slogan
BKOB-220||none of this is to say that she lacked ambition for her son
BKOB-221||despite the financial strain she and my grandparents would send me to Punahou a wise top Prep School
BKOB-222||the thought of me not going to college was never entertained
BKOB-223||but no one in my family would have ever suggested I might hold public office someday
BKOB-224||if you'd asked my mother she might have imagined that I'd end up heading of philanthropic institution like the Ford Foundation
BKOB-225||my grandparents would've love to see me become a judge or a great courtroom lawyer like Perry Mason
BKOB-226||might as well put that smart-mouthed of his to use Gramps would say
BKOB-227||since I didn't know my father he didn't have much input
BKOB-228||I vaguely understood that he had worked for the Kenyan government for a Time
BKOB-229||and when I was ten he traveled from Kenya to stay with us for a month in Honolulu
BKOB-230||That was the first and last I saw him after that I heard from only through the occasional letter
BKOB-231||written on thin blue air mail paper that was pre-printed to fold an address without an envelope
BKOB-232||your mother tells me you think you may want to study architecture
BKOB-234||this is a very practical profession that one that can be practiced anywhere in the world
BKOB-235||it was not much to go on as for the world beyond my family well what they would see for most of my teenage years was not a budding leader but rather the lackadaisical student
BKOB-236||passionate basketball player of limited Talent
BKOB-237||and an incessant dedicated partier no student government for me no Eagle Scouts are interning at the local congressman's office
BKOB-238||through High School my friends and I didn't discuss much Beyond sports girls music and plans for getting loaded
BKOB-239||three of these guys Bobby titcomb Greg Norman Mike Ramos remain some of my closest friends
BKOB-240||to this day we can laugh for hours over stories of our misspent youth
BKOB-241||later years they would throw themselves into my campaigns with a loyalty for which I will always be grateful
BKOB-242||becoming a skilled at defending my record as anyone on MSNBC
BKOB-243||they're also time during my presidency
BKOB-244||after they'd watch me speak to a big crowd say or receive a series of crisp salutes from Young Marines during a base tour when their faces would betray a certain bafflement
BKOB-245||as if they were trying to reconcile the greying man in a suit and tie would be ill-defined Manchild they'd once known
BKOB-246||they must have said it themselves
BKOB-247||how the hell did that happen and if my friends would ever ask me directly I'm not sure I'd have had a good answer
BKOB-248||I do know that sometime in high school I started asking questions
BKOB-249||by my father's absence in my mother's choices
BKOB-250||about how it was but I come to live in a place where few people look like me
BKOB-251||a lot of questions centered on Race why did blacks play professional basketball but not coach it
BKOB-252||what did that girl from school mean when she said she didn't think of me as black
BKOB-253||why were all the black men in action movies switchblade wielding lunatics except for maybe the one
BKOB-254||black guy the sidekick of course who always seem to end up getting killed
BKOB-255||but I wasn't only concerned with race it was class as well
BKOB-256||growing up in Indonesia I'd seen the yawning Chasm between the lives of wealthy Elites and impoverished masses
BKOB-257||I had to Mason awareness of the tribal tensions in my father's country
BKOB-258||the hatred that could exist between those who on the surface might look the same
BKOB-259||I bore daily witness to the seemingly cramped lives of my grandparents
BKOB-260||the disappointments they filled with TV and liquor in sometimes a new Appliance or car
BKOB-261||I noticed that my mother paid for intellectual Freedom with chronic Financial struggles and occasional personal chaos
BKOB-262||And I became attuned to the not-so-subtle hierarchies among my Prep School classmates
BKOB-263||mostly having to do with how much money their parents had and then there was the unsettling fact that despite whatever my mother might claim
BKOB-264||the bullies cheats and self-promoters seem to be doing quite well
BKOB-265||although she considered good and decent people seem to get screwed an awful lot
BKOB-266||all of this pulled me in different directions it was because of the very strangeness of my Heritage and the world's I straddled
BKOB-267||I was from everywhere and nowhere at once a combination of ill-fitting Parts like a platypus or some imaginary Beast confined to a fragile habitat unsure where I belong
BKOB-268||and I sensed without fully understanding why or how
BKOB-269||unless I could Stitch my life together and situate myself along some firm axis I might end up in some basic way living my life alone
BKOB-270||I didn't talk to anyone about this certainly not my friends are family
BKOB-271||I didn't want to hurt their feelings or stand out anymore than I already did
BKOB-272||I did find refuge in books the reading habit was my mother's doing instilled early in my childhood
BKOB-273||go to move anytime I complained of boredom or when she couldn't afford to send me to the international school in Indonesia or when I'd accompany her to the office because she's never babysitter
BKOB-274||she would say then come back and tell me something you learned
BKOB-275||there were a few years when I lived with my grandparents in Hawaii when my mother continued to work in Indonesia and raise my younger sister Maya
BKOB-276||without my mother around to nag me I didn't learned as much as my grades regularly a test
BKOB-277||been around 10th grade that change
BKOB-278||I still remember going with my grandparents to a rummage sale at the central union church across the street from our apartment and finding myself in front of a bin of old hardcover books
BKOB-279||for some reason I started pulling up titles that appealed to me or sounded Vaguely Familiar
BKOB-280||books by Ralph Ellison in Langston Hughes Robert Penn Warren and Dostoevsky
BKOB-281||DH Lawrence Ralph Waldo Emerson
BKOB-282||Gramps was eyeing a set of used golf clubs gave me a confused look when I walked up with my box of books
BKOB-283||planning to open a library my grandmother shushed finding my sudden interest in literature Admiral
BKOB-284||ever practical she did suggest I might want to focus on my class assignments before digging into crime and punishment
BKOB-285||I ended up reading all those books sometimes late after I got home from basketball practice in the six pack with my friends sometimes after body surfing on a Saturday afternoon sitting alone in grams is rickety old Ford Granada with a towel around my waist to avoid getting the upholstery wet
BKOB-286||when I finished the first set of books I went through other rummage sales looking for more
BKOB-287||much of what I read I only dimly understood
BKOB-288||I took the circling unfamiliar words to look up in the dictionary now though I was less scrupulous about decoding pronunciations
BKOB-289||deep into my twenties I would know the meaning of words I could not pronounce
BKOB-290||there's no system to this no Rhyme or pattern
BKOB-291||I was like a young tinkerer in my garage Gathering up old cathode-ray tubes and bolts and loose wires
BKOB-292||not sure what I do with any of it but convinced it would prove handy once I figured out the nature of my calling
BKOB-293||my interest in books probably explains why I not only survived high school but arrived at Occidental College in 1979 with a thin but passable knowledge of political issues and a series of half-baked opinions that I toss out during late-night bull sessions in the dorm
BKOB-294||looking back it's embarrassing to recognize the degree to which my intellectual curiosity those first two years in college paralleled the interests of various women I was attempting to get to know
BKOB-295||mark-to-market losses so I had something to say that long-legged socialist who lived in my dorm
BKOB-296||Gwendolyn Brooks for the smooth skin sociology major who never gave me a second look
BKOB-297||Cohen wolf for the Ethereal bisexual who wore mostly black
BKOB-298||as a strategy for picking up girls my pseudo intellectualism
BKOB-299||proved mostly worthless I found myself in a series of affectionate but chased friendships
BKOB-300||still these halting efforts serve a purpose
BKOB-301||something approaching a worldview took shape in my mind
BKOB-302||I was helped Along by a handful of professors who tolerated my iffy study habits and my youthful pretension
BKOB-303||I was helped even more by a handful of mostly older students
BKOB-304||black kids from the inner-city white kids who would scratch their way into college from small towns first-generation Latino kids International students from Pakistan or India or countries in Africa that teetered on the edge of Chaos
BKOB-305||They Knew What mattered to them when they spoke in class their views were routed natural communities actual struggles
BKOB-306||here's what these budget cuts mean in my neighborhood
BKOB-307||let me tell you about my school before you complain about the formative Act
BKOB-308||the first amendment is great but why does the US government say nothing about the political prisoners in my country
BKOB-309||the two years I spent at Occidental represented the start of my political awakening
BKOB-311||your actors in a rigged game I decided that I wanted no part of
BKOB-312||what did capture my attention was something broader and less conventional
BKOB-313||not political campaigns but social movements where ordinary people join together to make change
BKOB-314||I became a student of the sufferagists and early labor organizers of Gandhi and like valessa
BKOB-315||and the African National Congress most of all I was inspired by the young leaders of the Civil Rights move
BKOB-316||not just doctor king but John Lewis and Bob Moses Fannie Lou Hamer and Diane Nash
BKOB-317||in their heroic efforts going door-to-door to registered voters sitting down at lunch counters and marching to freedom songs
BKOB-318||I saw the possibility of practicing the values my mother had taught
BKOB-319||how you can build power not by putting others down but by lifting them up
BKOB-320||this was true democracy at work Democracy not as a gift from on high or division of spoils between interest groups but rather democracy that was earned
BKOB-321||the work of everybody the result was not just a change in material conditions by a sense of dignity for people and communities
BKOB-322||a bond between those two at once seemed far apart
BKOB-323||this I decided was my deal worth pursuing
BKOB-324||I just need to focus at my sophomore year I transferred to Columbia University figuring it would be a new start
BKOB-325||for three years in New York hold up in a series of delays
BKOB-326||gated Apartments largely shorn of old friends and bad habits I lived like a monk
BKOB-327||Reading Writing filling up journals rarely bothering with college parties or even eating hot meals
BKOB-328||I got lost in my head preoccupied with questions that seemed to layer themselves one over the next
BKOB-329||what made some movements succeed where others failed
BKOB-330||was it a sign of success when portions of a cause were absorbed by conventional politics
BKOB-331||or was it a sign that the cause has been hijacked
BKOB-332||when was compromise acceptable and when was it selling out
BKOB-333||how did one know the difference oh how earnest I was then how Fierce and humorless
BKOB-334||when I look back on my journal entries from this time I feel a great affection for the young man that I was aching to make a mark on the world
BKOB-335||wanted to be part of something Grand and idealistic which evidence seems to indicate did not exist
BKOB-336||this is America in the early 1980s after all
BKOB-337||social movements the previous decade has lost her vibrancy
BKOB-338||a new conservatism was taking old Ronald Reagan was President the economy was in recession
BKOB-339||cold war was in full swing if I were to travel back in time I might urge the young man I was to set the books aside for a minute open the windows and let in some fresh air
BKOB-340||my smoking habit was then in full bloom and tell him to relax go meet some people enjoy the pleasures that life reserves for those in their 20s
BKOB-341||the few friends I had a New York tried to offer similar advice
BKOB-342||you need to lighten up Barack you need to get laid
BKOB-343||you're so idealistic is great but I don't know if what you're saying is really possible
BKOB-344||I resisted these voices I resisted precisely because I fear that they were right
BKOB-345||whatever I was incubating during those hours spent alone whatever vision for Better World I'd let flourish in the Hothouse of
BKOB-346||youthful mind it could hardly withstand even a simple conversational road test
BKOB-347||the great light of a Manhattan winter that against the overarching cynicism of the times
BKOB-348||my ideas spoken aloud in class or over coffee with friends came off as fanciful and far-fetched
BKOB-349||I knew it in fact it's one of the things that may have saved me from becoming a full-blown crank before I reach the age of 22
BKOB-350||some basic level I understood the absurdity of my vision
BKOB-351||how wide the Gap was between my grand Ambitions and anything I was actually doing in my life
BKOB-352||Walter Mitty a Don Quixote with no Sancho Panza
BKOB-353||this too can be found my journal entries from that time
BKOB-354||accurate Chronicle of all my shortcomings
BKOB-355||my preference for navel-gazing overaction ascertain Reserve even shyness traceable perhaps to my Hawaiian and Indonesian upbringing but also the result of a deep self-conscious
BKOB-356||a sensitivity to rejection or looking stupid
BKOB-357||maybe even a fundamental laziness I took it upon myself to purge the softness with a regimen of self-improvement that I've never entirely shed
BKOB-358||Michelle and the girls point out that to this day I can't get into a pool or the ocean without feeling compelled to swim laps
BKOB-359||why don't you just Wade they'll say with a Snicker it's fun here will show you how
BKOB-360||I made lists I started working out going for runs around the Central Park Reservoir along the East River and eating cans of tuna fish and hard boiled eggs for fuel
BKOB-361||strip myself of excess belongings who needs more than 5 shirts
BKOB-362||what great contest was I preparing for whatever it was I knew I was not ready
BKOB-363||certainty that self-doubt kept me from settling too quickly on easy answers
BKOB-364||I got in the habit of questioning my own assumptions
BKOB-365||and this I think ultimately came in handy not only because it prevented me from becoming insufferable but because it inoculated me against the Revolutionary formulas embraced by a lot of people on the left at the dawn of the Reagan Era
BKOB-366||certainly that was true when it came to questions of race
BKOB-367||experienced my fair share of racial sleights and could see all too well the enduring Legacy of slavery and Jim Crow anytime I walk through Harlem or parts of the Bronx
BKOB-368||but identify ography I learned not to claim my own victimhood to readily
BKOB-369||I resisted the notion held by some of the black folks I knew that white people were irredeemably racist
BKOB-370||the conviction that racism was an inevitable may also explain my willingness to defend the American idea
BKOB-371||what country was and what it could become my mother and grandparents have never been noisy in their patriotism
BKOB-372||reciting the pledge of allegiance in class waiving small flags on 4th of July
BKOB-373||These were treated as pleasant rituals not sacred duties
BKOB-374||attitude towards Easter and Christmas were pretty much the same
BKOB-375||even gramps service in world war two was downplayed he told me more about eating K rations
BKOB-376||Benny ever told me about the glory of marching and Patton's Army
BKOB-377||and yet the pride and being American the notion that America was the greatest country on Earth
BKOB-378||that was always a given as a young man I chased against books that dismissed the notion of American exceptionalism
BKOB-379||got in the long-drawn-out arguments with friends who insisted the American hegemon was the root of Oppression worldwide
BKOB-380||I've lived overseas I Knew Too Much
BKOB-381||America fell perpetually short of its ideals I readily conceded
BKOB-382||the version of American History taught in schools with slavery glossed over in the slaughter of Native Americans all but omitted
BKOB-383||that I did not defend the blundering exercise of military power.
BKOB-384||rapaciousness of multinationals yeah yeah I got all that
BKOB-385||but the idea of America America
BKOB-386||this I clung to with a stubbornness that surprised even me
BKOB-387||we hold these truths to be self-evident that all men are created equal that was my America
BKOB-388||the America tocqueville wrote about the countryside of Whitman and throw with no person my inferior or my better
BKOB-389||the American of Pioneers heading west in search of a better life or immigrants landing on Ellis Island propelled by a yearning for freedom
BKOB-390||it was the American Thomas Edison and the Wright brothers making dreams take flight
BKOB-391||Jackie Robinson stealing home is Chuck Berry and Bob Dylan
BKOB-392||Billie Holiday at the Village Vanguard Johnny Cash at Folsom State Prison
BKOB-393||all those Misfits took the scraps that others overlooked or discarded and made Beauty no one had seen before
BKOB-394||the America of Lincoln at Gettysburg and Jane Addams toiling in a Chicago settlement home and weary gi's at Normandy
BKOB-395||dr. King on the National Mall some encouraging others and in himself
BKOB-396||was the Constitution and the Bill of Rights crafted by flawed but brilliant thinkers who reason their way to A system that wants sturdy and capable of change
BKOB-397||an America that could explain me dream on Barack beside these arguments with my college friends would usually end
BKOB-398||some smug bastard dropped a newspaper in front of me it's headlines trumpeting the US Invasion of Grenada or Cuts in the school lunch program or some other disheartening news
BKOB-399||sorry but that's your America
BKOB-400||such was my state when I graduate 1983
BKOB-401||Big Ideas and nowhere to go there were no movements to join no selfless leader to follow
